alpha,alpha_idx,lam,rho,MSE_mean,MSE_std,label_err_mean,label_err_std,label_err_mean_noise,label_err_std_noise,train_data_mean,train_reg_mean,train_total_mean
0.2942857142857143,0,0.0001,1.0,34.81563758850098,0.6557471734265523,0.0289940927505493,0.0006329804501869,0.0568932514190673,0.0013634570922297,0.0015250259518623,0.0034821336984634,0.0050071596503257
0.4364285714285715,0,0.1,1.0,0.0251562115736305,0.0007456169018804,0.0001138104870915,2.354082914110379e-05,0.0280358930587768,0.0004781411049517,0.0581844055175781,0.0014824276685714,0.0596668331861496
0.4364285714285715,0,0.001,1.0,9.400034487247469,0.1103791969570308,0.0099017735004425,0.0001958054027067,0.0379214258193969,0.0010649218257316,0.0208353472709655,0.0094063509941101,0.0302416982650756
0.4364285714285715,0,0.0002,1.0,34.22952914237976,0.4798296951091082,0.0271271457672119,0.0007616255112688,0.0547474933624267,0.0013877229359982,0.0099191596508026,0.0068473502635955,0.0167665099143981
0.4364285714285715,0,0.0005,1.0,17.046520471572876,0.2935278033241965,0.0159785292625427,0.0004274386385361,0.0440899606704711,0.0008418410730793,0.0155110632896423,0.0085278728485107,0.024038936138153
0.4364285714285715,0,0.0001,1.0,56.37348508834839,1.0408857753576692,0.0378339296340942,0.0006535753179997,0.0658410793304443,0.0010646141536479,0.0069545208930969,0.0056381541967391,0.0125926750898361
0.5785714285714286,0,0.1,1.0,0.0289488260168582,0.00045212895917,0.000104578410834,1.3990591521010105e-05,0.0279796571731567,0.0004500570022105,0.0770211082458496,0.0019219333291053,0.0789430415749549
0.5785714285714286,0,0.001,1.0,10.420500934123991,0.1464287803333303,0.0102534541606903,0.0002379720278406,0.0384426597595214,0.0006770037225227,0.0341866567611694,0.0104264407157897,0.0446130974769592
0.5785714285714286,0,0.0002,1.0,37.00841689109802,0.5540714329401588,0.0267938457489013,0.000632211269805,0.0547448429107666,0.0012005147858399,0.0225309327125549,0.0074032206058502,0.0299341533184051
0.5785714285714286,0,0.0005,1.0,18.333864212036133,0.3668104483493621,0.0162161084175109,0.0004592479792105,0.0443551244735717,0.0008096594571424,0.0284633611679077,0.0091722731113433,0.037635634279251
0.5785714285714286,0,0.0001,1.0,60.48770570755005,1.094293091454733,0.0366114830017089,0.00084253473993,0.0645735836029052,0.0008620326722898,0.0192821684837341,0.006049931359291,0.0253320998430252
0.7207142857142858,0,0.1,1.0,0.0324399843811988,0.0007637609547666,9.860549420118332e-05,1.1559242005380954e-05,0.0280687480926513,0.0005052057209822,0.0965462165832519,0.0023618780493736,0.0989080946326255
0.7207142857142858,0,0.001,1.0,10.608761727809906,0.1480140048197651,0.0101328664302825,0.0002580746264341,0.0383496578216552,0.000646423805363,0.0495554498672485,0.010618347454071,0.0601737973213195
0.7207142857142858,0,0.0002,1.0,34.02796125411987,0.5753342240215302,0.0237899048805236,0.0005091804156319,0.0515559278488159,0.0008589848999536,0.0392776208877563,0.0068084834575653,0.0460861043453216
0.7207142857142858,0,0.0005,1.0,18.23258781433105,0.1932580145651784,0.0153739601135253,0.0004475983206136,0.0433980457305908,0.0007701961946548,0.0441032400131225,0.0091213307380676,0.0532245707511901
0.7207142857142858,0,0.0001,1.0,51.20778250694275,1.0539013167206923,0.0311206212997436,0.0009057633174962,0.0590658573150634,0.0012548647240439,0.0362463058471679,0.0051220015764236,0.0413683074235916
0.862857142857143,0,0.1,1.0,0.0357196317054331,0.0005640151131426,8.817344829440116e-05,1.0407870192944692e-05,0.0280689519882202,0.0006596807110534,0.1155637573242187,0.0027601994156837,0.1183239567399025
0.862857142857143,0,0.001,1.0,10.522044658660889,0.1634187275282545,0.0098573382854461,0.000325257731474,0.0378301136016845,0.0007763807678985,0.0660092868804931,0.0105279197692871,0.0765372066497802
0.862857142857143,0,0.0002,1.0,29.651471614837646,0.397628598486286,0.0206399799346923,0.0004076233620982,0.0487019981384277,0.001262344114028,0.0575804515838623,0.0059325805902481,0.0635130321741104
0.862857142857143,0,0.0005,1.0,17.196256279945374,0.2258901940367373,0.0143509475708007,0.0003874979612698,0.0419754972457885,0.0008613061640675,0.0612458717346191,0.0086020283222198,0.0698479000568389
0.862857142857143,0,0.0001,1.0,40.4631552696228,0.9225432913372904,0.0255913948059082,0.0007115278795078,0.0536147527694702,0.0013923474642544,0.0560417770385742,0.0040478173017501,0.0600895943403244
